Date_cross,ID,Mat,Pat,Time,Date_harvest,num_seeds,notes,numOffspringScent
20190325,G1,98_12,100_05,1107,20190605,102,,8
20190325,G2,100_05,98_12,1107,20190605,73,,8
20190325,G3,93_07,77_03,1108,20190614,87,,7
20190327,G4,98_09,93_06,1215,20190605,91,,5
20190327,G5,98_09,76_05,1219,20190605,8,,0
20190327,G6,98_09,82_05,1221,20190605,81,,8
20190327,G7,no_tag_C,93_06,1223,20190605,108,,1
20190327,G8,76_05,101_09,1226,20190605,74,,3
20190327,G9,101_09,82_05,1230,,,,0
20190327,G10,82_05,76_05,1232,20190614,87,,1
20190402,G11,72_01,82_02,853,20190605,4,,0
20190402,G12,77_03,82_02,858,20190605,92,,4
20190402,G13,82_02,77_03,858,,58,,4
20190405,G14,77_12,71_12,1357,20190605,110,,8
20190405,G15,71_12,95_05,1400,20190614,120,,4
20190405,G16,95_05,77_12,1402,20190605,62,,4
20190405,G17,102_03,78_04,1406,20190614,95,,4
20190405,G18,89_12,102_03,1408,20190614,52,,6
20190405,G19,78_04,89_12,1411,20190614,2,,0
20190405,G20,82_03,100_08,1415,20190614,77,,7
20190405,G21,100_08,92_01,1417,,,,0
20190405,G22,92_01,82_03,1420,20190614,70,,4
20190405,G23,74_01,81_11,1424,20190605,2,looked aborted,0
20190405,G24,92_03,74_01,1426,20190605,91,,3
20190405,G25,81_11,92_03,1427,20190614,33,,4
20190405,G26,89_10,93_02,1432,20190605,80,,2
20190405,G27,101_04,89_10,1434,20190605,86,,3
20190405,G28,93_02,101_04,1436,20190614,105,,2
20190405,G29,98_24,86_01,1439,20190614,69,,1
20190405,G30,98_24,71_13,1441,,,,0
20190405,G31,98_24,85_03,1443,20190614,65,,4
20190405,G32,85_03,71_13,1445,20190614,91,,3
20190405,G33,71_13,86_01,1448,20190614,63,,2
20190405,G34,69_17,89_16,1451,20190614,59,,3
20190405,G35,100_06,69_17,1453,20190605,55,,1
20190405,G36,100_06,84_03,1455,20190605,63,,2
20190405,G37,84_03,89_16,1458,20190605,102,,0
20190408,G38,89_13,88_07,1029,20190605,15,,0
20190408,G39,89_13,93_06,1032,20190605,91,,1
20190408,G40,88_07,93_06,1034,20190614,100,,0
20190408,G41,89_13,78_04,1037,20190605,23,,0
20190408,G42,78_04,98_04,1039,20190614,81,,0
20190408,G43,93_06,89_12,1042,20190614,68,,1
20190408,G44,98_04,86_03,1045,20190614,96,,3
20190408,G45,100_15,89_13,1047,20190614,102,,3
20190408,G46,86_03,100_15,1049,20190614,24,,0
20190408,G47,89_14,69_10,1057,20190605,81,,6
20190408,G48,69_10,98_06,1059,20190605,70,,6
20190408,G49,98_06,95_07,1102,20190605,78,,0
20190412,G50,100_10,78_04,1126,20190605,90,,2
20190412,G51,100_10,98_18,1128,20190605,91,,0
20190412,G52,98_18,100_10,1130,20190605,61,,0
20190412,G53,98_18,82_05,1133,20190605,61,,2
20190412,G54,78_04,82_05,1135,20190614,62,,3
20190412,G55,102_13,69_17,1138,20190605,25,,0
20190412,G56,88_06,102_13,1140,20190605,66,,3
20190412,G57,69_17,88_06,1142,20190614,79,,2
20190412,G58,69_17,98_12,1145,20190614,51,,2
20190412,G59,98_12,88_07,1148,20190605,92,,5
20190412,G60,77_13,98_12,1151,20190605,88,,2
20190412,G61,77_13,89_10,1152,20190605,85,,3
20190412,G62,89_10,77_13,1154,20190605,46,,6
20190412,G63,88_07,92_01,1157,20190614,101,,1
20190412,G64,100_15,92_01,1200,20190614,111,,3
20190412,G65,92_01,84_02,1202,,58,,1
20190412,G66,100_19,84_02,1205,20190614,24,,0
20190415,G67,100_19,102_14,1112,20190614,43,,2
20190415,G68,102_14,78_04,1114,20190614,98,,6
20190415,G69,78_04,100_19,1116,20190614,84,,0
20190415,G70,100_19,89_17,1118,20190614,54,,5
20190415,G71,102_14,101_03,1121,20190614,81,,2
20190415,G72,101_03,89_14,1126,20190614,0,,0
20190415,G73,89_14,88_07,1128,20190605,57,,4
20190415,G74,90_01,89_14,1131,20190614,87,,0
20190415,G75,88_07,90_01,1133,20190614,100,,3
20190415,G76,82_07,101_06,1136,20190614,54,,
20190418,G77,89_17,95_04,1024,20190614,59,,
20190418,G78,82_07,89_17,1026,20190614,92,,
20190418,G79,83_08,82_07,1029,20190605,77,,
20190418,G80,95_04,83_08,1031,20190614,104,,
20190419,G81,89_17,98_14,1158,20190614,91,,
20190419,G82,no_tag_D,89_17,1201,20190614,4,on enevelop D is crossed out for A,
20190419,G83,98_14,83_08,1203,20190614,86,,
20190419,G84,83_08,74_01,1206,20190614,72,,
20190419,G85,74_01,83_08,1208,20190605,0,aborted,
20190422,G86,82_01,83_08,1043,20190614,55,,
20190422,G87,89_17,82_01,1045,20190614,74,,
20190422,G88,83_08,89_17,1046,20190614,63,,
20190429,G89,88_07,100_08,1045,20190620,95,,
20190429,G90,100_08,88_07,1045,20190614,60,,
20190429,G91,102_06,89_15,1050,20190620,92,,
20190429,G92,77_13,102_06,1050,20190614,26,,
,M3,101_09,unknown,,20190605,77,,
,M5,84_02,unknown,,20190605,92,,
,M9,81_07,unknown,,20190605,106,,
,M12,81_11,unknown,,20190614,31,,
,M11,81_02,unknown,,20190614,7,,
,M14,102_06,unknown,,20190614,22,,
,M13,82_05,unknown,,20190614,26,,
,M8,82_08,unknown,,20190605,79,,
,M7,no_tag_E,unknown,,20190605,12,,
,M16,100_08,unknown,,20190614,6,,
,M15,100_08,unknown,,20190614,93,,
,M1,95_08,unknown,,20190605,12,,
,M2,73_01,unknown,,20190605,24,,
,M4,84_02,unknown,,20190605,71,,
,M6,102_09/04,unknown,,20190605,22,,
,M10,91_05,unknown,,20190605,23,,